k 5
IF1210 9009 3
IF1210 9212 2
IF1210 9107 1
IF1210 9122 2
IF1210 9020 1
IF1220 9009 1
IF1220 9213 3
IF1220 9108 1
IF1220 9123 2
IF1220 9021 1
IF1221 9212 2
IF1221 9214 1
IF1221 9114 3
IF1221 9124 1
IF1221 9020 2
IF1230 9213 1
IF1230 9214 2
IF1230 9122 1
IF1230 9021 3
IF1230 9020 1
IF2010 9107 2
IF2010 9108 1
IF2010 9123 2
IF2010 9124 1
IF2010 9009 2
IF2040 9107 1
IF2040 9114 2
IF2040 9124 3
IF2040 9212 1
IF2040 9021 1
IF2050 9108 2
IF2050 9122 1
IF2050 9123 2
IF2050 9213 2
IF2050 9020 1
IF2110 9114 1
IF2110 9122 3
IF2110 9124 1
IF2110 9214 1
IF2110 9107 2
IF2120 9123 2
IF2120 9009 1
IF2120 9124 2
IF2120 9021 2
IF2120 9108 1
IF2123 9212 2
IF2123 9213 1
IF2123 9214 2
IF2123 9020 2
IF2123 9114 1
IF2130 9009 2
IF2130 9214 1
IF2130 9108 2
IF2130 9122 2
IF2130 9124 1
IF2150 9212 1
IF2150 9107 3
IF2150 9114 1
IF2150 9123 1
IF2150 9021 2
