20 120
0 1 14
0 2 27
0 3 11
0 4 24
0 5 8
0 6 21
0 7 5
0 8 18
0 9 2
0 10 15
0 11 28
0 12 12
0 13 25
0 14 9
0 15 22
0 16 6
0 17 19
0 18 3
0 19 16
1 2 5
1 3 18
1 4 2
1 5 15
1 6 28
1 7 12
1 8 25
1 9 9
1 10 22
1 11 6
1 12 19
1 13 3
1 14 16
1 15 29
1 16 13
1 17 26
1 18 10
1 19 23
2 3 25
2 4 9
2 5 22
2 6 6
2 7 19
2 8 3
2 9 16
2 10 29
2 11 13
2 12 26
2 13 10
2 14 23
2 15 7
2 16 20
2 17 4
2 18 17
2 19 1
3 4 16
3 5 29
3 6 13
3 7 26
3 8 10
3 9 23
3 10 7
3 11 20
3 12 4
3 13 17
3 14 1
3 15 14
3 16 27
3 17 11
3 18 24
3 19 8
4 5 7
4 6 20
4 7 4
4 8 17
4 9 1
4 10 14
4 11 27
4 12 11
4 13 24
4 14 8
4 15 21
4 16 5
4 17 18
4 18 2
4 19 15
5 6 27
5 7 11
5 8 24
5 9 8
5 10 21
5 11 5
5 12 18
5 13 2
5 14 15
5 15 28
5 16 12
5 17 25
5 18 9
5 19 22
6 7 18
6 8 2
6 9 15
6 10 28
6 11 12
6 12 25
6 13 9
6 14 22
6 15 6
6 16 19
6 17 3
6 18 16
6 19 29
7 8 9
7 9 22
7 10 6
7 11 19
7 12 3
7 13 16
7 14 29
7 15 13
0
